Transacciones_ATM,ticket_promedio_diarioATM,Monto_Neto_ATM
200694,90.645071602,18191922
201571,80.848410734,16296695
140889,66.812391315,9413131
192787,80.523380726,15523861
173573,77.321034954,13420844
169216,71.756872873,12142411
196178,80.158029952,15725242
122186,74.657939535,9122155
192241,80.322933193,15441361
123102,63.466198762,7812816
170742,76.849310656,13121405
213205,96.587716048,20592984
264924,101.238910027,26820617
337097,111.154940566,37469997
263594,93.673566166,24691790
227229,84.773087942,19262904
143848,67.261470441,9675428
178193,74.765136678,13322624
188905,78.659797253,14859229
169885,68.41479236,11622647
155519,68.585979848,10666423
198218,78.851486747,15629784
198523,84.408698236,16757068
123978,64.051839843,7941019
152523,70.441028566,10743877
163847,78.394441155,12844694
215507,93.748272678,20203409
259923,103.656032748,26942587
365569,113.575683387,41519749
269822,96.893159194,26143906
155401,74.611379592,11594683
198277,85.571140374,16966789
174990,80.101525801,14016966
169710,73.202221437,12423149
184147,78.491797314,14454029
186890,78.563748729,14682779
192300,83.361773271,16030469
122310,64.887180116,7936351
151740,72.185969421,10953499
170908,78.375143352,13394939
166205,73.684564243,12246743
245945,102.666222123,25250244
406057,124.30978902,50476860
276385,105.409179225,29133516
126535,73.600173865,9312998
124098,66.705305484,8277995
170421,75.4380094,12856221
200357,79.582510219,15944913
228113,84.216454126,19210868
232305,86.263309012,20039398
155887,69.148171432,10779301
209640,78.03665331,16359604
186560,75.148842196,14019768
207480,76.661437247,15905715
236746,96.809297728,22919214
392846,120.117847706,47187816
339766,111.135051771,37759912
171052,82.16942801,14055245
227352,90.919204581,20670663
188116,83.631674073,15732456
183553,76.462858139,14034987
189681,78.452196055,14880891
197923,78.668229564,15570252
205358,84.025764762,17255363
132633,64.095956512,8501239
155876,70.343413996,10964850
172039,76.904138015,13230511
160176,68.908556837,11037497
221928,96.715042717,21463776
362466,116.734444058,42312267
332423,109.051470566,36251217
184392,81.385813918,15006893
218080,83.35431493,18177909
183543,76.98729453,14130479
174882,69.85955673,12217179
162956,68.744280665,11202293
217306,80.705751337,17537844
208675,83.281471187,17378761
135200,62.703846154,8477560
150544,68.283471942,10279667
147513,69.183109285,10205408
180219,75.711684118,13644684
166617,75.250466639,12538007
312633,110.503673637,34547095
278119,99.571640197,27692765
185758,83.135515025,15443087
312286,109.003727352,34040338
245656,93.203569219,22896016
231587,89.103671622,20635252
242409,94.553964581,22920732
143732,72.172327665,10373473
126245,63.081508179,7963725
176000,74.972857955,13195223
168409,74.035342529,12468218
167029,72.737847919,12149330
216538,86.529556013,18736937
193509,93.383455033,18070539
180224,83.817543723,15105933
147395,71.220719834,10497578
202605,86.692051035,17564243
286526,109.828996321,31468863
401771,120.761371528,48518417
272719,94.481007924,25766766
249503,85.874791085,21426018
259875,87.50989899,22741635
170553,68.552414792,11691820
198641,74.691221852,14836739
174653,68.992631103,12049770
172462,64.152346604,11063842
168172,66.945656828,11258385
215217,82.732339917,17805406
220887,82.196892529,18156225
144358,65.552113496,9462972
178666,75.324001209,13457838
233863,99.90839081,23364876
281326,102.615094232,28868294
381065,114.474590949,43622260
185130,90.375844002,16731280
234661,91.263085898,21415887
147572,71.391876508,10535442
202011,83.79363995,16927237
196068,82.012118245,16079952
171084,70.805814688,12113742
166057,70.326369861,11678186
209063,81.182208234,16972196
211873,81.738130861,17318103
135406,63.464359039,8593455
157301,69.40699042,10917789
167970,77.333232125,12989663
223025,97.09268916,21654097
282027,103.134788513,29086795
374848,112.02786196,41993420
274598,94.608758986,25979376
161048,72.655140082,11700965
197722,75.516245031,14931223
169570,69.861939022,11846489
191604,72.658013403,13921566
155639,69.41237736,10803273
199446,79.37295308,15830618
193717,75.213130494,14570062
130072,64.191063411,8349460
173220,75.740330216,13119740
162983,74.956142665,12216577
227467,94.980278458,21604879
220026,92.109109832,20266399
374018,112.485607645,42071642
327863,107.264723375,35168134
172502,81.806622532,14111806
212219,87.231411891,18512163
180862,79.789375325,14430866
175994,73.245400411,12890751
161910,74.066709901,11992141
219408,87.573721104,19214375
204091,80.404986011,16409934
128845,64.714059529,8338083
153839,70.800232711,10891837
146231,72.505740917,10602587
178113,75.120614441,13379958
158857,71.885985509,11419592
308762,108.307952403,33441380
293532,99.867670305,29314357
192711,84.236577051,16233315
322655,107.803303838,34783275
223172,82.681716344,18452244
189440,72.275918497,13691950
178111,71.835815868,12794749
230194,82.52988349,18997884
225945,79.511456328,17965216
128670,60.440467864,7776875
157099,67.754524217,10644168
149885,69.015398472,10344373
153005,65.713577988,10054506
184852,76.929457079,14220564
265138,99.513370396,26384776
213086,96.072341684,20471671
184031,84.429661307,15537675
259628,102.367841681,26577558
327393,110.214314295,36083395
240812,86.46601083,20822053
199892,79.884947872,15968362
240636,87.004887049,20936508
224001,81.563631412,18270335
143101,64.333575586,9206199
163360,70.780080803,11562634
151116,69.625274623,10521493
154019,65.267830592,10052486
150557,68.267526585,10278154
205343,82.013538324,16840906
224811,95.445445285,21457186
151150,75.699986768,11442053
195092,86.054456359,16788536
289610,106.809122613,30932990
345663,107.381197872,37117707
232854,84.668324358,19715358
234092,83.78787827,19614072
229949,81.769235787,18802754
146650,63.473937947,9308453
182186,73.915267913,13466327
169296,70.208563699,11886029
159460,64.544431205,10292255
148307,66.031610106,9792950
208234,80.528770518,16768828
205989,82.596085228,17013885
132476,64.408187143,8532539
171388,75.482344155,12936768
226686,100.717582912,22831266
293093,104.462812145,30617319
331927,108.169868676,35904500
294370,94.691745083,27874409
249366,87.336260757,21778694
158967,68.343398315,10864345
195924,81.33564035,15935604
175517,77.401995248,13585366
206301,77.157556192,15917681
177879,71.336099258,12689194
226727,81.188221959,18407562
266234,85.365328996,22727153
176263,67.752778518,11942308
229996,77.121836902,17737714
194857,70.752988089,13786715
247047,90.499803681,22357705
255566,96.557143752,24676723
402860,123.143700045,49609671
377666,118.1970789,44639018
201084,86.962423664,17486752
247090,89.068707758,22007987
215708,78.911885512,17021925
205015,69.530034388,14254700
214717,74.897958708,16081865
214420,74.67664397,16012166
220623,77.747057197,17152789
140954,61.794663507,8710205
169103,66.322247388,11215291
184414,74.171207175,13678209
182401,69.213381506,12624590
249946,95.126823394,23776569
382791,111.339697119,42619834
340247,104.876971729,35684075
195562,81.515432446,15941321
245019,89.888784135,22024460
205659,84.387116538,17354970
194621,75.181378166,14631875
177366,74.444966905,13204006
230703,81.440557773,18788581
210248,82.470154294,17339185
134570,62.999405514,8477830
160134,69.521207239,11132709
150831,68.305043393,10302518
154456,66.656665976,10295522
172518,77.4035405,13353504
295325,105.930805045,31284015
252689,94.037856812,23762332
166506,78.973562514,13149572
258809,101.150953019,26178777
311672,107.704477784,33568470
243166,85.247222062,20729226
203800,77.200230618,15733407
230421,82.626418599,19038862
224983,80.877546303,18196073
146886,62.974422341,9250061
171780,68.90374316,11836285
149183,67.141664935,10016395
156018,63.56010204,9916520
155575,67.441806203,10492259
238387,86.82505338,20697964
242830,94.113552691,22853594
155588,75.339897678,11721984
198513,87.231178814,17316523
299225,108.388035759,32432410
347371,107.824919179,37455250
239249,89.371888702,21382135
244230,85.347987553,20844539
239416,84.250651586,20170954
141967,69.042319694,9801731
193464,77.357647934,14965920
156483,70.08733217,10967476
164698,67.798819658,11166330
169149,66.210045581,11199363
207700,82.386461242,17111668
236302,92.149592471,21775133
150723,74.459127008,11222703
195423,82.882690369,16197184
200264,87.046588503,17432298
288320,102.382047725,29518792
335368,107.378876339,36011439
261078,88.168225588,23018784
243334,84.425719382,20543648
156396,66.315404486,10371464
181967,70.739123028,12872186
